causa_acidente;acidentes;mortos;feridos
AUSÊNCIA DE REAÇÃO DO CONDUTOR;3701;247;4170
REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;3476;181;4021
ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;2270;133;2915
CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;1387;38;1594
VELOCIDADE INCOMPATÍVEL;1310;155;1712
MANOBRA DE MUDANÇA DE FAIXA;1243;83;1482
INGESTÃO DE ÁLCOOL PELO CONDUTOR;1096;58;929
DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;1083;27;830
TRANSITAR NA CONTRAMÃO;755;302;1048
CONDUTOR DORMINDO;651;74;813
ULTRAPASSAGEM INDEVIDA;582;121;947
CHUVA;457;23;557
TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS;445;18;512
AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU;430;7;622
ANIMAIS NA PISTA;414;32;454
DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;390;9;515
CONVERSÃO PROIBIDA;333;17;443
ACESSO IRREGULAR;270;21;316
ACUMULO DE ÁGUA SOBRE O PAVIMENTO;266;15;390
PISTA ESCORREGADIA;204;10;251
ENTRADA INOPINADA DO PEDESTRE;196;49;182
PEDESTRE ANDAVA NA PISTA;190;85;136
PEDESTRE CRUZAVA A PISTA FORA DA FAIXA;170;35;182
MAL SÚBITO DO CONDUTOR;170;18;220
TRANSITAR NO ACOSTAMENTO;163;18;169
PISTA ESBURACADA;157;13;194
OBJETO ESTÁTICO SOBRE O LEITO CARROÇÁVEL;155;15;215
RETORNO PROIBIDO;130;9;166
FREAR BRUSCAMENTE;117;0;120
DEMAIS FALHAS NA VIA;99;4;139
ACUMULO DE AREIA OU DETRITOS SOBRE O PAVIMENTO;92;2;108
PROBLEMA COM O FREIO;91;11;96
CONDUTOR DESRESPEITOU A ILUMINAÇÃO VERMELHA DO SEMÁFORO;84;2;97
AFUNDAMENTO OU ONDULAÇÃO NO PAVIMENTO;82;3;95
CARGA EXCESSIVA E/OU MAL ACONDICIONADA;80;3;65
ACUMULO DE ÓLEO SOBRE O PAVIMENTO;67;0;94
ACOSTAMENTO EM DESNÍVEL;65;1;77
AUSÊNCIA DE SINALIZAÇÃO;62;5;81
ESTACIONAR OU PARAR EM LOCAL PROIBIDO;56;0;74
CONDUTOR USANDO CELULAR;55;4;64
DEFICIÊNCIA DO SISTEMA DE ILUMINAÇÃO/SINALIZAÇÃO;51;9;55
CURVA ACENTUADA;48;5;54
SUICÍDIO (PRESUMIDO);47;23;32
ILUMINAÇÃO DEFICIENTE;42;1;44
PEDESTRE - INGESTÃO DE ÁLCOOL/ SUBSTÂNCIAS PSICOATIVAS;31;7;28
DEMAIS FENÔMENOS DA NATUREZA;24;1;30
INGESTÃO DE SUBSTÂNCIAS PSICOATIVAS PELO CONDUTOR;24;3;17
TRANSTORNOS MENTAIS (EXCETO SUICIDIO);24;2;17
FALTA DE ACOSTAMENTO;20;3;24
ÁREA URBANA SEM A PRESENÇA DE LOCAL APROPRIADO PARA A TRAVESSIA DE PEDESTRES;17;4;18
SINALIZAÇÃO MAL POSICIONADA;15;0;23
FALTA DE ELEMENTO DE CONTENÇÃO QUE EVITE A SAÍDA DO LEITO CARROÇÁVEL;14;1;11
PROBLEMA NA SUSPENSÃO;13;1;33
DESVIO TEMPORÁRIO;10;0;14
PARTICIPAR DE RACHA;7;3;8
RESTRIÇÃO DE VISIBILIDADE EM CURVAS VERTICAIS;6;1;11
NEBLINA;6;3;5
DECLIVE ACENTUADO;5;1;6
RESTRIÇÃO DE VISIBILIDADE EM CURVAS HORIZONTAIS;4;0;9
FAIXAS DE TRÂNSITO COM LARGURA INSUFICIENTE;4;0;4
TRANSITAR NA CALÇADA;4;0;4
REDUTOR DE VELOCIDADE EM DESACORDO;4;1;2
FUMAÇA;3;0;1
DEIXAR DE ACIONAR O FAROL DA MOTOCICLETA (OU SIMILAR);2;0;4
FARÓIS DESREGULADOS;2;1;1
SINALIZAÇÃO ENCOBERTA;2;0;4
MODIFICAÇÃO PROIBIDA;1;0;2
SEMÁFORO COM DEFEITO;1;0;1
