tipo_acidente;acidentes;mortos;feridos
COLISÃO TRASEIRA;4643;223;5312
SAÍDA DE LEITO CARROÇÁVEL;3425;196;4080
COLISÃO TRANSVERSAL;3043;178;3964
COLISÃO LATERAL MESMO SENTIDO;2593;80;2936
TOMBAMENTO;2097;83;2487
COLISÃO COM OBJETO;1600;102;1621
COLISÃO FRONTAL;1456;604;2460
QUEDA DE OCUPANTE DE VEÍCULO;1153;38;1373
ATROPELAMENTO DE PEDESTRE;945;267;885
COLISÃO LATERAL SENTIDO OPOSTO;675;67;885
INCÊNDIO;569;0;23
ENGAVETAMENTO;428;17;578
CAPOTAMENTO;369;20;475
ATROPELAMENTO DE ANIMAL;360;30;391
EVENTOS ATÍPICOS;90;10;72
DERRAMAMENTO DE CARGA;26;0;15
SINISTRO PESSOAL DE TRÂNSITO;3;3;0
